month,year,amphoe_code,Rain_Avg
มกราคม,2010,1101,19.62
มกราคม,2010,1102,37.01
มกราคม,2010,1103,39.25
มกราคม,2010,1104,37.37
มกราคม,2010,1105,48.35
มกราคม,2010,1106,45.03
มกราคม,2010,1201,89.22
มกราคม,2010,1202,77.68
มกราคม,2010,1203,73.66
มกราคม,2010,1204,73.8
มกราคม,2010,1205,39.85
มกราคม,2010,1206,76.75
มกราคม,2010,1301,52.46
มกราคม,2010,1302,23.22
มกราคม,2010,1303,54.69
มกราคม,2010,1304,32.77
มกราคม,2010,1305,57.87
มกราคม,2010,1306,65.74
มกราคม,2010,1307,28.86
มกราคม,2010,1401,18.47
มกราคม,2010,1402,1.8
มกราคม,2010,1403,3.84
มกราคม,2010,1404,25.42
มกราคม,2010,1405,15.37
มกราคม,2010,1406,24.45
มกราคม,2010,1407,7.56
มกราคม,2010,1408,3.07
มกราคม,2010,1409,2.59
มกราคม,2010,1410,22.89
มกราคม,2010,1411,25.23
มกราคม,2010,1412,6.34
มกราคม,2010,1413,4.47
มกราคม,2010,1414,11.97
มกราคม,2010,1415,5.73
มกราคม,2010,1416,5.77
มกราคม,2010,1501,5.92
มกราคม,2010,1502,5.93
มกราคม,2010,1503,12.15
มกราคม,2010,1504,5.37
มกราคม,2010,1505,6.65
มกราคม,2010,1506,2.32
มกราคม,2010,1507,2.91
มกราคม,2010,1601,5.89
มกราคม,2010,1602,17.51
มกราคม,2010,1603,13.68
มกราคม,2010,1604,37.27
มกราคม,2010,1605,6.86
มกราคม,2010,1606,13.03
มกราคม,2010,1607,40.86
มกราคม,2010,1608,40.43
มกราคม,2010,1609,36.61
มกราคม,2010,1610,28.92
มกราคม,2010,1611,43.02
มกราคม,2010,1701,12.83
มกราคม,2010,1702,14.63
มกราคม,2010,1703,12.34
มกราคม,2010,1704,9.31
มกราคม,2010,1705,10.95
มกราคม,2010,1706,20.68
มกราคม,2010,1801,20.77
มกราคม,2010,1802,23.54
มกราคม,2010,1803,22.71
มกราคม,2010,1804,20.7
มกราคม,2010,1805,18.53
มกราคม,2010,1806,18.19
มกราคม,2010,1807,22.73
มกราคม,2010,1808,17.94
มกราคม,2010,1901,10.2
มกราคม,2010,1902,17.01
มกราคม,2010,1903,9.25
มกราคม,2010,1904,22.85
มกราคม,2010,1905,2.41
มกราคม,2010,1906,2.63
มกราคม,2010,1907,4.63
มกราคม,2010,1908,4.93
มกราคม,2010,1909,6.37
มกราคม,2010,1910,3.44
มกราคม,2010,1911,31.35
มกราคม,2010,1912,29.83
มกราคม,2010,1913,10.82
มกราคม,2010,2001,28.75
มกราคม,2010,2002,32.13
มกราคม,2010,2003,37.62
มกราคม,2010,2004,21.38
มกราคม,2010,2005,36.13
มกราคม,2010,2006,36.02
มกราคม,2010,2007,18.33
มกราคม,2010,2008,9.21
มกราคม,2010,2009,45.12
มกราคม,2010,2010,36.39
มกราคม,2010,2011,36.74
มกราคม,2010,2101,62.45
มกราคม,2010,2102,72.45
มกราคม,2010,2103,54.68
มกราคม,2010,2104,48.4
มกราคม,2010,2105,61.87
มกราคม,2010,2106,41.76
มกราคม,2010,2107,44.78
มกราคม,2010,2108,56.92
มกราคม,2010,2201,30.21
มกราคม,2010,2202,45.41
มกราคม,2010,2203,33.25
มกราคม,2010,2204,29.5
มกราคม,2010,2205,35.41
มกราคม,2010,2206,45.31
มกราคม,2010,2207,21.84
มกราคม,2010,2208,28.37
มกราคม,2010,2209,44.36
มกราคม,2010,2210,30.87
มกราคม,2010,2301,48.21
มกราคม,2010,2302,47.5
มกราคม,2010,2303,51.61
มกราคม,2010,2304,46.61
มกราคม,2010,2305,54.56
มกราคม,2010,2306,48.46
มกราคม,2010,2307,52.38
มกราคม,2010,2401,45.13
มกราคม,2010,2402,37.86
มกราคม,2010,2403,45.56
มกราคม,2010,2404,34.15
มกราคม,2010,2405,35.7
มกราคม,2010,2406,39.67
มกราคม,2010,2407,39.6
มกราคม,2010,2408,23.38
มกราคม,2010,2409,39.26
มกราคม,2010,2410,24.02
มกราคม,2010,2411,40.17
มกราคม,2010,2501,36.5
มกราคม,2010,2502,13.52
มกราคม,2010,2503,25.08
มกราคม,2010,2506,37.39
มกราคม,2010,2507,38.08
มกราคม,2010,2508,37.36
มกราคม,2010,2509,37.93
มกราคม,2010,2601,31.51
มกราคม,2010,2602,36.13
มกราคม,2010,2603,29.7
มกราคม,2010,2604,39.81
มกราคม,2010,2701,9.01
มกราคม,2010,2702,7.7
มกราคม,2010,2703,13.09
มกราคม,2010,2704,13.51
มกราคม,2010,2705,2.87
มกราคม,2010,2706,1.7
มกราคม,2010,2707,9.96
มกราคม,2010,2708,5.65
มกราคม,2010,2709,17.06
มกราคม,2010,3001,51.51
มกราคม,2010,3002,28.4
มกราคม,2010,3003,29.5
มกราคม,2010,3004,43.68
มกราคม,2010,3005,41.75
มกราคม,2010,3006,46.16
มกราคม,2010,3007,49
มกราคม,2010,3008,47.58
มกราคม,2010,3009,52.17
มกราคม,2010,3010,47.29
มกราคม,2010,3011,46.87
มกราคม,2010,3012,39.2
มกราคม,2010,3013,25.38
มกราคม,2010,3014,46.45
มกราคม,2010,3015,36.76
มกราคม,2010,3016,36.12
มกราคม,2010,3017,27.99
มกราคม,2010,3018,50.9
มกราคม,2010,3019,55.27
มกราคม,2010,3020,45.74
มกราคม,2010,3021,37.79
มกราคม,2010,3022,47.56
มกราคม,2010,3023,41.33
มกราคม,2010,3024,38.39
มกราคม,2010,3025,37.26
มกราคม,2010,3026,48.49
มกราคม,2010,3027,20.6
มกราคม,2010,3028,46.77
มกราคม,2010,3029,23.24
มกราคม,2010,3030,40.15
มกราคม,2010,3031,37.7
มกราคม,2010,3032,51.6
มกราคม,2010,3101,19.71
มกราคม,2010,3102,20.66
มกราคม,2010,3103,13.07
มกราคม,2010,3104,37.76
มกราคม,2010,3105,46.43
มกราคม,2010,3106,26.52
มกราคม,2010,3107,19.71
มกราคม,2010,3108,22.62
มกราคม,2010,3109,20.6
มกราคม,2010,3110,24.01
มกราคม,2010,3111,18.56
มกราคม,2010,3112,38.73
มกราคม,2010,3113,23.24
มกราคม,2010,3114,41.39
มกราคม,2010,3115,18.02
มกราคม,2010,3116,17.38
มกราคม,2010,3117,46.4
มกราคม,2010,3118,38.41
มกราคม,2010,3119,22.31
มกราคม,2010,3120,25.59
มกราคม,2010,3121,19.37
มกราคม,2010,3122,20.51
มกราคม,2010,3123,38.06
มกราคม,2010,3201,12.71
มกราคม,2010,3202,20.27
มกราคม,2010,3203,20.39
มกราคม,2010,3204,17.73
มกราคม,2010,3205,14.22
มกราคม,2010,3206,17.18
มกราคม,2010,3207,20.34
มกราคม,2010,3208,20.56
มกราคม,2010,3209,15.25
มกราคม,2010,3210,16.38
มกราคม,2010,3211,15.14
มกราคม,2010,3212,18.06
มกราคม,2010,3213,17.03
มกราคม,2010,3214,19.72
มกราคม,2010,3215,16.6
มกราคม,2010,3216,14.02
มกราคม,2010,3217,20.55
มกราคม,2010,3301,18.6
มกราคม,2010,3302,18.7
มกราคม,2010,3303,18.77
มกราคม,2010,3304,17.65
มกราคม,2010,3305,17.81
มกราคม,2010,3306,18.3
มกราคม,2010,3307,17.54
มกราคม,2010,3308,17.86
มกราคม,2010,3309,18.87
มกราคม,2010,3310,18.64
มกราคม,2010,3311,20.28
มกราคม,2010,3312,18.49
มกราคม,2010,3313,18.99
มกราคม,2010,3314,18.61
มกราคม,2010,3315,18.73
มกราคม,2010,3316,18.51
มกราคม,2010,3317,17.47
มกราคม,2010,3318,19.63
มกราคม,2010,3319,18.83
มกราคม,2010,3320,18.65
มกราคม,2010,3321,19.52
มกราคม,2010,3322,20.3
มกราคม,2010,3401,15.98
มกราคม,2010,3402,16.44
มกราคม,2010,3403,16.64
มกราคม,2010,3404,19.09
มกราคม,2010,3405,12.74
มกราคม,2010,3407,17.93
มกราคม,2010,3408,18.56
มกราคม,2010,3409,18.71
มกราคม,2010,3410,18.18
มกราคม,2010,3411,16.91
มกราคม,2010,3412,15.69
มกราคม,2010,3414,18.71
มกราคม,2010,3415,16.99
มกราคม,2010,3419,16.42
มกราคม,2010,3420,16.72
มกราคม,2010,3421,16.12
มกราคม,2010,3422,19.01
มกราคม,2010,3424,15.98
มกราคม,2010,3425,17.6
มกราคม,2010,3426,18.78
มกราคม,2010,3429,16.36
มกราคม,2010,3430,14.88
มกราคม,2010,3431,17.76
มกราคม,2010,3432,15.51
มกราคม,2010,3433,18.39
มกราคม,2010,3501,17.04
มกราคม,2010,3502,17.02
มกราคม,2010,3503,15.81
มกราคม,2010,3504,18.8
มกราคม,2010,3505,15.18
มกราคม,2010,3506,19.82
มกราคม,2010,3507,19.07
มกราคม,2010,3508,10.2
มกราคม,2010,3509,14.37
มกราคม,2010,3601,38.76
มกราคม,2010,3602,39.28
มกราคม,2010,3603,40.85
มกราคม,2010,3604,35.64
มกราคม,2010,3605,33.81
มกราคม,2010,3606,41.04
มกราคม,2010,3607,40.54
มกราคม,2010,3608,35.27
มกราคม,2010,3609,33.28
มกราคม,2010,3610,41.89
มกราคม,2010,3611,44.41
มกราคม,2010,3612,39.37
มกราคม,2010,3613,35.12
มกราคม,2010,3614,28.63
มกราคม,2010,3615,41.03
มกราคม,2010,3616,38.66
มกราคม,2010,3701,14.37
มกราคม,2010,3702,10.53
มกราคม,2010,3703,13.88
มกราคม,2010,3704,17.84
มกราคม,2010,3705,12.76
มกราคม,2010,3706,16.8
มกราคม,2010,3707,16.86
มกราคม,2010,3801,49.22
มกราคม,2010,3802,51.49
มกราคม,2010,3803,63.89
มกราคม,2010,3804,46.26
มกราคม,2010,3805,62.63
มกราคม,2010,3806,41.31
มกราคม,2010,3807,49.77
มกราคม,2010,3808,46.27
มกราคม,2010,3901,51
มกราคม,2010,3902,41.7
มกราคม,2010,3903,50.12
มกราคม,2010,3904,41.03
มกราคม,2010,3905,41.53
มกราคม,2010,3906,35.75
มกราคม,2010,4001,28.46
มกราคม,2010,4002,46.73
มกราคม,2010,4003,31.73
มกราคม,2010,4004,47.1
มกราคม,2010,4005,43.37
มกราคม,2010,4006,44.96
มกราคม,2010,4007,43.86
มกราคม,2010,4008,49.85
มกราคม,2010,4009,36.58
มกราคม,2010,4010,32.52
มกราคม,2010,4011,30.72
มกราคม,2010,4012,35.12
มกราคม,2010,4013,37.58
มกราคม,2010,4014,40.89
มกราคม,2010,4015,29.29
มกราคม,2010,4017,38.98
มกราคม,2010,4018,36.86
มกราคม,2010,4019,47.94
มกราคม,2010,4020,39.93
มกราคม,2010,4021,36.53
มกราคม,2010,4022,39.49
มกราคม,2010,4023,48.22
มกราคม,2010,4024,32.62
มกราคม,2010,4025,35.44
มกราคม,2010,4101,46
มกราคม,2010,4102,49.42
มกราคม,2010,4103,50.63
มกราคม,2010,4104,44.8
มกราคม,2010,4105,45.72
มกราคม,2010,4106,47.99
มกราคม,2010,4107,56.2
มกราคม,2010,4108,54.76
มกราคม,2010,4109,43.36
มกราคม,2010,4110,39.75
มกราคม,2010,4111,59.15
มกราคม,2010,4117,51.5
มกราคม,2010,4118,39.53
มกราคม,2010,4119,49.23
มกราคม,2010,4120,61.12
มกราคม,2010,4121,48.35
มกราคม,2010,4122,42.09
มกราคม,2010,4123,50.41
มกราคม,2010,4124,50.07
มกราคม,2010,4125,48.11
มกราคม,2010,4201,28.93
มกราคม,2010,4202,32.22
มกราคม,2010,4203,33.66
มกราคม,2010,4204,35.51
มกราคม,2010,4205,31.32
มกราคม,2010,4206,29.02
มกราคม,2010,4207,31.28
มกราคม,2010,4208,31.92
มกราคม,2010,4209,29.37
มกราคม,2010,4210,37.22
มกราคม,2010,4211,32.6
มกราคม,2010,4212,36.59
มกราคม,2010,4213,31.56
มกราคม,2010,4214,33.32
มกราคม,2010,4301,62.91
มกราคม,2010,4302,57.98
มกราคม,2010,4305,62.98
มกราคม,2010,4307,57.98
มกราคม,2010,4308,46.73
มกราคม,2010,4314,56.25
มกราคม,2010,4315,63.26
มกราคม,2010,4316,62.75
มกราคม,2010,4317,56.57
มกราคม,2010,4401,19.07
มกราคม,2010,4402,17.68
มกราคม,2010,4403,28.51
มกราคม,2010,4404,22.6
มกราคม,2010,4405,30.02
มกราคม,2010,4406,21.71
มกราคม,2010,4407,22.31
มกราคม,2010,4408,20.09
มกราคม,2010,4409,17.84
มกราคม,2010,4410,21.15
มกราคม,2010,4411,21.31
มกราคม,2010,4412,29.56
มกราคม,2010,4413,33.37
มกราคม,2010,4501,13.81
มกราคม,2010,4502,19.69
มกราคม,2010,4503,20.2
มกราคม,2010,4504,17.67
มกราคม,2010,4505,18.11
มกราคม,2010,4506,18.85
มกราคม,2010,4507,18.68
มกราคม,2010,4508,18.73
มกราคม,2010,4509,22.39
มกราคม,2010,4510,18.1
มกราคม,2010,4511,19.72
มกราคม,2010,4512,18.76
มกราคม,2010,4513,20.98
มกราคม,2010,4514,18.65
มกราคม,2010,4515,25.22
มกราคม,2010,4516,15.15
มกราคม,2010,4517,15.96
มกราคม,2010,4518,18.31
มกราคม,2010,4519,20.76
มกราคม,2010,4520,18.62
มกราคม,2010,4601,22.57
มกราคม,2010,4602,27.97
มกราคม,2010,4603,18.73
มกราคม,2010,4604,19.53
มกราคม,2010,4605,27.38
มกราคม,2010,4606,38.29
มกราคม,2010,4607,22.71
มกราคม,2010,4608,28.27
มกราคม,2010,4609,27.36
มกราคม,2010,4610,40.6
มกราคม,2010,4611,36.32
มกราคม,2010,4612,27.31
มกราคม,2010,4613,30.19
มกราคม,2010,4614,32.58
มกราคม,2010,4615,35.6
มกราคม,2010,4616,38.57
มกราคม,2010,4617,22.79
มกราคม,2010,4618,20.13
มกราคม,2010,4701,53.97
มกราคม,2010,4702,35.33
มกราคม,2010,4703,58.19
มกราคม,2010,4704,57.68
มกราคม,2010,4705,58.81
มกราคม,2010,4706,59.15
มกราคม,2010,4707,59.11
มกราคม,2010,4708,53.48
มกราคม,2010,4709,51.22
มกราคม,2010,4710,53.5
มกราคม,2010,4711,48.79
มกราคม,2010,4712,57.44
มกราคม,2010,4713,57.02
มกราคม,2010,4714,54.67
มกราคม,2010,4715,46.59
มกราคม,2010,4716,56.14
มกราคม,2010,4717,38.86
มกราคม,2010,4718,51.71
มกราคม,2010,4801,5.72
มกราคม,2010,4802,10.55
มกราคม,2010,4803,17.85
มกราคม,2010,4804,37.65
มกราคม,2010,4805,11.22
มกราคม,2010,4806,14.52
มกราคม,2010,4807,24.19
มกราคม,2010,4808,33.93
มกราคม,2010,4809,47.6
มกราคม,2010,4810,18.13
มกราคม,2010,4811,41.46
มกราคม,2010,4812,31.83
มกราคม,2010,4901,7.51
มกราคม,2010,4902,10.37
มกราคม,2010,4903,9.96
มกราคม,2010,4904,18.36
มกราคม,2010,4905,15.95
มกราคม,2010,4906,9.16
มกราคม,2010,4907,18.7
มกราคม,2010,5001,20.5
มกราคม,2010,5002,18.99
มกราคม,2010,5003,14.86
มกราคม,2010,5004,13.61
มกราคม,2010,5005,20.95
มกราคม,2010,5006,20.43
มกราคม,2010,5007,20.97
มกราคม,2010,5008,20.46
มกราคม,2010,5009,7.54
มกราคม,2010,5010,2.42
มกราคม,2010,5011,14.53
มกราคม,2010,5012,16.18
มกราคม,2010,5013,18.26
มกราคม,2010,5014,21.39
มกราคม,2010,5015,16.32
มกราคม,2010,5016,15.4
มกราคม,2010,5017,24.84
มกราคม,2010,5018,15.86
มกราคม,2010,5019,16.64
มกราคม,2010,5020,16.58
มกราคม,2010,5021,9.73
มกราคม,2010,5022,18.42
มกราคม,2010,5023,21.46
มกราคม,2010,5024,18.42
มกราคม,2010,5025,21.13
มกราคม,2010,5101,14.1
มกราคม,2010,5102,17.55
มกราคม,2010,5103,20.31
มกราคม,2010,5104,25.33
มกราคม,2010,5105,26.17
มกราคม,2010,5106,16.56
มกราคม,2010,5107,16.06
มกราคม,2010,5108,19.81
มกราคม,2010,5201,24.1
มกราคม,2010,5202,25.12
มกราคม,2010,5203,26.56
มกราคม,2010,5204,25.85
มกราคม,2010,5205,28.5
มกราคม,2010,5206,26.97
มกราคม,2010,5207,22.18
มกราคม,2010,5208,29.56
มกราคม,2010,5209,42.71
มกราคม,2010,5210,24.93
มกราคม,2010,5211,28.08
มกราคม,2010,5212,26.85
มกราคม,2010,5213,24.14
มกราคม,2010,5301,12.51
มกราคม,2010,5302,14.59
มกราคม,2010,5303,17.98
มกราคม,2010,5304,20.98
มกราคม,2010,5305,25.31
มกราคม,2010,5306,26
มกราคม,2010,5307,19.09
มกราคม,2010,5308,12.63
มกราคม,2010,5309,15.69
มกราคม,2010,5401,25.19
มกราคม,2010,5402,27.43
มกราคม,2010,5403,24.78
มกราคม,2010,5404,26.04
มกราคม,2010,5405,19.93
มกราคม,2010,5406,27.45
มกราคม,2010,5407,22.08
มกราคม,2010,5408,29.66
มกราคม,2010,5501,20.91
มกราคม,2010,5502,27.97
มกราคม,2010,5503,31.28
มกราคม,2010,5504,26.43
มกราคม,2010,5505,34.64
มกราคม,2010,5506,34.23
มกราคม,2010,5507,24.41
มกราคม,2010,5508,82.91
มกราคม,2010,5509,45.91
มกราคม,2010,5510,25.7
มกราคม,2010,5511,29.8
มกราคม,2010,5512,39.46
มกราคม,2010,5513,54.51
มกราคม,2010,5514,20.97
มกราคม,2010,5515,70.32
มกราคม,2010,5601,31.84
มกราคม,2010,5602,25.59
มกราคม,2010,5603,26.42
มกราคม,2010,5604,31.28
มกราคม,2010,5605,31.73
มกราคม,2010,5606,36.03
มกราคม,2010,5607,24.72
มกราคม,2010,5608,29.9
มกราคม,2010,5609,31.59
มกราคม,2010,5701,0.21
มกราคม,2010,5702,0.59
มกราคม,2010,5703,12.49
มกราคม,2010,5704,10.42
มกราคม,2010,5705,4.18
มกราคม,2010,5706,14.71
มกราคม,2010,5707,2.12
มกราคม,2010,5708,7.12
มกราคม,2010,5709,3.08
มกราคม,2010,5710,3.3
มกราคม,2010,5711,15.52
มกราคม,2010,5712,6.62
มกราคม,2010,5713,25.52
มกราคม,2010,5714,15.28
มกราคม,2010,5715,2.21
มกราคม,2010,5716,1.71
มกราคม,2010,5717,1.72
มกราคม,2010,5718,4.47
มกราคม,2010,5801,21.66
มกราคม,2010,5802,16.42
มกราคม,2010,5803,17.47
มกราคม,2010,5804,13
มกราคม,2010,5805,13.39
มกราคม,2010,5806,13
มกราคม,2010,5807,20.84
มกราคม,2010,6001,26
มกราคม,2010,6002,26.52
มกราคม,2010,6003,27.94
มกราคม,2010,6004,34.23
มกราคม,2010,6005,29.47
มกราคม,2010,6006,28.35
มกราคม,2010,6007,26.45
มกราคม,2010,6008,30.89
มกราคม,2010,6009,33.48
มกราคม,2010,6010,26.98
มกราคม,2010,6011,29.04
มกราคม,2010,6012,46.65
มกราคม,2010,6013,27.89
มกราคม,2010,6014,27.2
มกราคม,2010,6015,28.96
มกราคม,2010,6101,24.96
มกราคม,2010,6102,27.32
มกราคม,2010,6103,28.49
มกราคม,2010,6104,24.52
มกราคม,2010,6105,25.55
มกราคม,2010,6106,10.72
มกราคม,2010,6107,21.3
มกราคม,2010,6108,18.38
มกราคม,2010,6201,16.71
มกราคม,2010,6202,21.58
มกราคม,2010,6203,22.89
มกราคม,2010,6204,25.66
มกราคม,2010,6205,21.53
มกราคม,2010,6206,19.17
มกราคม,2010,6207,23.91
มกราคม,2010,6208,24.73
มกราคม,2010,6209,24.94
มกราคม,2010,6210,27.9
มกราคม,2010,6211,18.75
มกราคม,2010,6301,34.98
มกราคม,2010,6302,39.2
มกราคม,2010,6303,27.42
มกราคม,2010,6304,17.16
มกราคม,2010,6305,15.54
มกราคม,2010,6306,11.51
มกราคม,2010,6307,20.68
มกราคม,2010,6308,17.17
มกราคม,2010,6309,31.03
มกราคม,2010,6401,28.57
มกราคม,2010,6402,30.97
มกราคม,2010,6403,27.47
มกราคม,2010,6404,27.51
มกราคม,2010,6405,15.49
มกราคม,2010,6406,18.85
มกราคม,2010,6407,20.6
มกราคม,2010,6408,19.05
มกราคม,2010,6409,29.71
มกราคม,2010,6501,24.9
มกราคม,2010,6502,27.55
มกราคม,2010,6503,22.98
มกราคม,2010,6504,26.29
มกราคม,2010,6505,26.68
มกราคม,2010,6506,25.21
มกราคม,2010,6507,22.64
มกราคม,2010,6508,25.01
มกราคม,2010,6509,32.2
มกราคม,2010,6601,35.57
มกราคม,2010,6602,33.71
มกราคม,2010,6603,32.17
มกราคม,2010,6604,33.43
มกราคม,2010,6605,33.74
มกราคม,2010,6606,31.68
มกราคม,2010,6607,30.26
มกราคม,2010,6608,31.77
มกราคม,2010,6609,34.3
มกราคม,2010,6610,31.55
มกราคม,2010,6611,33.55
มกราคม,2010,6612,31.04
มกราคม,2010,6701,30.5
มกราคม,2010,6702,29.97
มกราคม,2010,6703,35.39
มกราคม,2010,6704,36.22
มกราคม,2010,6705,14
มกราคม,2010,6706,20.58
มกราคม,2010,6707,25.53
มกราคม,2010,6708,18.61
มกราคม,2010,6709,36.87
มกราคม,2010,6710,31.75
มกราคม,2010,6711,31.17
มกราคม,2010,7001,2.01
มกราคม,2010,7002,3.8
มกราคม,2010,7003,5.17
มกราคม,2010,7004,9.74
มกราคม,2010,7005,3.98
มกราคม,2010,7006,12.9
มกราคม,2010,7007,4.03
มกราคม,2010,7008,2.86
มกราคม,2010,7009,3.26
มกราคม,2010,7010,8.81
มกราคม,2010,7101,0
มกราคม,2010,7102,1.25
มกราคม,2010,7103,0.82
มกราคม,2010,7104,2.39
มกราคม,2010,7105,3.84
มกราคม,2010,7106,0.21
มกราคม,2010,7107,8.53
มกราคม,2010,7108,12.54
มกราคม,2010,7109,1.12
มกราคม,2010,7110,3.62
มกราคม,2010,7111,0.73
มกราคม,2010,7112,4.54
มกราคม,2010,7113,2.42
มกราคม,2010,7201,0.8
มกราคม,2010,7202,12.24
มกราคม,2010,7203,5.69
มกราคม,2010,7204,1.24
มกราคม,2010,7205,1.35
มกราคม,2010,7206,1.6
มกราคม,2010,7207,3.27
มกราคม,2010,7208,3.84
มกราคม,2010,7209,2.24
มกราคม,2010,7210,4.46
มกราคม,2010,7301,4.89
มกราคม,2010,7302,3.5
มกราคม,2010,7303,36.47
มกราคม,2010,7304,5.12
มกราคม,2010,7305,6.72
มกราคม,2010,7306,41.32
มกราคม,2010,7307,64.93
มกราคม,2010,7401,34.11
มกราคม,2010,7402,48.79
มกราคม,2010,7403,26.32
มกราคม,2010,7501,21.51
มกราคม,2010,7502,6.77
มกราคม,2010,7503,8.24
มกราคม,2010,7601,41.1
มกราคม,2010,7602,10.17
มกราคม,2010,7603,14.76
มกราคม,2010,7604,5.39
มกราคม,2010,7605,4.72
มกราคม,2010,7606,36.04
มกราคม,2010,7607,26.25
มกราคม,2010,7608,8.62
มกราคม,2010,7701,20.4
มกราคม,2010,7702,18.72
มกราคม,2010,7703,21.42
มกราคม,2010,7704,32.82
มกราคม,2010,7705,59.13
มกราคม,2010,7706,13.35
มกราคม,2010,7707,4.31
มกราคม,2010,7708,16.75
มกราคม,2010,8001,112.9
มกราคม,2010,8002,91.07
มกราคม,2010,8003,68.88
มกราคม,2010,8004,11.01
มกราคม,2010,8005,20.83
มกราคม,2010,8006,99.77
มกราคม,2010,8007,73.85
มกราคม,2010,8008,94.05
มกราคม,2010,8009,40.38
มกราคม,2010,8010,15.81
มกราคม,2010,8011,14.43
มกราคม,2010,8012,109.98
มกราคม,2010,8013,81.91
มกราคม,2010,8014,72.29
มกราคม,2010,8015,72.72
มกราคม,2010,8016,95.83
มกราคม,2010,8017,44.28
มกราคม,2010,8018,15
มกราคม,2010,8019,82.69
มกราคม,2010,8020,111.31
มกราคม,2010,8021,54.85
มกราคม,2010,8022,16.66
มกราคม,2010,8023,101.56
มกราคม,2010,8101,73.17
มกราคม,2010,8102,38.8
มกราคม,2010,8103,47.8
มกราคม,2010,8104,51.66
มกราคม,2010,8105,53.98
มกราคม,2010,8106,44.83
มกราคม,2010,8107,47.64
มกราคม,2010,8108,66.31
มกราคม,2010,8201,75.91
มกราคม,2010,8202,83.93
มกราคม,2010,8203,73.94
มกราคม,2010,8204,77.86
มกราคม,2010,8205,72.47
มกราคม,2010,8206,54.13
มกราคม,2010,8207,70.82
มกราคม,2010,8208,81.1
มกราคม,2010,8301,92.46
มกราคม,2010,8302,94.52
มกราคม,2010,8303,75.12
มกราคม,2010,8401,53.56
มกราคม,2010,8402,59.78
มกราคม,2010,8403,71.54
มกราคม,2010,8404,74.87
มกราคม,2010,8405,89.74
มกราคม,2010,8406,48.25
มกราคม,2010,8407,45.27
มกราคม,2010,8408,42.64
มกราคม,2010,8409,48.9
มกราคม,2010,8410,46.76
มกราคม,2010,8411,47.29
มกราคม,2010,8412,27.52
มกราคม,2010,8413,40.95
มกราคม,2010,8414,21.49
มกราคม,2010,8415,19.22
มกราคม,2010,8416,19.22
มกราคม,2010,8417,41.06
มกราคม,2010,8418,25.5
มกราคม,2010,8419,49.33
มกราคม,2010,8501,30.71
มกราคม,2010,8502,32.09
มกราคม,2010,8503,40.75
มกราคม,2010,8504,49.79
มกราคม,2010,8505,47.26
มกราคม,2010,8601,64.03
มกราคม,2010,8602,66.7
มกราคม,2010,8603,63.72
มกราคม,2010,8604,48.74
มกราคม,2010,8605,47.14
มกราคม,2010,8606,33.88
มกราคม,2010,8607,47.68
มกราคม,2010,8608,54.37
มกราคม,2010,9001,68.31
มกราคม,2010,9002,74.64
มกราคม,2010,9003,54.8
มกราคม,2010,9004,48.91
มกราคม,2010,9005,48.43
มกราคม,2010,9006,62.56
